Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
116,26,8,152,1,Some Random Commen with Id 116
117,26,8,45,9,Some Random Commen with Id 117
118,27,5,173,7,Some Random Commen with Id 118
119,28,2,108,6,Some Random Commen with Id 119
120,28,2,2,8,Some Random Commen with Id 120
121,28,2,125,3,Some Random Commen with Id 121
122,28,2,168,1,Some Random Commen with Id 122
123,28,2,28,2,Some Random Commen with Id 123
124,28,2,55,4,Some Random Commen with Id 124
125,28,2,147,0,Some Random Commen with Id 125
126,29,9,152,1,Some Random Commen with Id 126
127,30,1,52,4,Some Random Commen with Id 127
128,30,1,118,7,Some Random Commen with Id 128
129,30,1,142,5,Some Random Commen with Id 129
130,30,1,170,0,Some Random Commen with Id 130
131,30,1,157,2,Some Random Commen with Id 131
132,30,1,144,7,Some Random Commen with Id 132
133,30,1,52,9,Some Random Commen with Id 133
134,30,1,1,1,Some Random Commen with Id 134
135,31,4,101,2,Some Random Commen with Id 135
136,31,4,110,7,Some Random Commen with Id 136
137,31,4,129,5,Some Random Commen with Id 137
138,31,4,159,0,Some Random Commen with Id 138
139,32,2,149,7,Some Random Commen with Id 139
140,32,2,184,2,Some Random Commen with Id 140
141,32,2,143,4,Some Random Commen with Id 141
142,32,2,76,0,Some Random Commen with Id 142
143,32,2,176,8,Some Random Commen with Id 143
144,32,2,22,4,Some Random Commen with Id 144
145,33,6,142,3,Some Random Commen with Id 145
146,33,6,7,2,Some Random Commen with Id 146
147,34,1,62,5,Some Random Commen with Id 147
148,34,1,132,7,Some Random Commen with Id 148
149,34,1,122,6,Some Random Commen with Id 149
150,34,1,186,4,Some Random Commen with Id 150
151,35,1,5,4,Some Random Commen with Id 151
152,35,1,46,8,Some Random Commen with Id 152
153,35,1,169,8,Some Random Commen with Id 153
154,35,1,55,4,Some Random Commen with Id 154
155,35,1,54,2,Some Random Commen with Id 155
156,35,1,64,4,Some Random Commen with Id 156
157,35,1,11,2,Some Random Commen with Id 157
158,36,7,97,8,Some Random Commen with Id 158
159,36,7,199,8,Some Random Commen with Id 159
160,36,7,107,4,Some Random Commen with Id 160
161,36,7,122,0,Some Random Commen with Id 161
162,36,7,137,5,Some Random Commen with Id 162
163,36,7,93,0,Some Random Commen with Id 163
164,36,7,148,7,Some Random Commen with Id 164
165,36,7,78,7,Some Random Commen with Id 165
166,36,7,76,1,Some Random Commen with Id 166
167,37,8,77,3,Some Random Commen with Id 167
168,37,8,8,2,Some Random Commen with Id 168
169,38,3,0,6,Some Random Commen with Id 169
170,38,3,108,7,Some Random Commen with Id 170
171,38,3,190,7,Some Random Commen with Id 171
172,38,3,69,2,Some Random Commen with Id 172
173,39,5,30,1,Some Random Commen with Id 173
174,39,5,56,7,Some Random Commen with Id 174
175,39,5,152,4,Some Random Commen with Id 175
176,39,5,76,8,Some Random Commen with Id 176
